"relationship_type","predecessor_status","successor_status","classification","reason_code","count"
"PR_FF","TK_ACTIVE","TK_ACTIVE","Unsupported","UnsupportedActivityType","2"
"PR_FF","TK_ACTIVE","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","26"
"PR_FF","TK_ACTIVE","TK_NOTSTART","Unsupported","UnsupportedActivityType","1"
"PR_FF","TK_COMPLETE","TK_ACTIVE","Historical","HistoricalFixedPredecessor","13"
"PR_FF","TK_COMPLETE","TK_COMPLETE","Historical","HistoricalSuccessor","1470"
"PR_FF","TK_COMPLETE","TK_NOTSTART","Historical","HistoricalFixedPredecessor","243"
"PR_FF","TK_NOTSTART","TK_ACTIVE","Calculated","CalculatedRetainedRemainingRelationship","3"
"PR_FF","TK_NOTSTART","TK_ACTIVE","Unsupported","UnsupportedActivityType","169"
"PR_FF","TK_NOTSTART","TK_COMPLETE","Historical","HistoricalSuccessor","2"
"PR_FF","TK_NOTSTART","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","234"
"PR_FF","TK_NOTSTART","TK_NOTSTART","Unsupported","UnsupportedActivityType","14"
"PR_FS","TK_ACTIVE","TK_ACTIVE","Calculated","CalculatedRetainedRemainingRelationship","27"
"PR_FS","TK_ACTIVE","TK_COMPLETE","Historical","HistoricalSuccessor","14"
"PR_FS","TK_ACTIVE","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","177"
"PR_FS","TK_COMPLETE","TK_ACTIVE","Historical","HistoricalFixedPredecessor","103"
"PR_FS","TK_COMPLETE","TK_COMPLETE","Historical","HistoricalSuccessor","10591"
"PR_FS","TK_COMPLETE","TK_NOTSTART","Historical","HistoricalFixedPredecessor","584"
"PR_FS","TK_NOTSTART","TK_ACTIVE","Calculated","CalculatedRetainedRemainingRelationship","30"
"PR_FS","TK_NOTSTART","TK_ACTIVE","Unsupported","UnsupportedActivityType","1"
"PR_FS","TK_NOTSTART","TK_COMPLETE","Historical","HistoricalSuccessor","22"
"PR_FS","TK_NOTSTART","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","1830"
"PR_SF","TK_ACTIVE","TK_NOTSTART","Unsupported","UnsupportedProgressedStartEndpoint","1"
"PR_SF","TK_COMPLETE","TK_COMPLETE","Historical","HistoricalSuccessor","7"
"PR_SF","TK_COMPLETE","TK_NOTSTART","Historical","HistoricalFixedPredecessor","4"
"PR_SS","TK_ACTIVE","TK_ACTIVE","Unsupported","UnsupportedActivityType","1"
"PR_SS","TK_ACTIVE","TK_ACTIVE","Unsupported","UnsupportedProgressedRelationship","9"
"PR_SS","TK_ACTIVE","TK_COMPLETE","Historical","HistoricalSuccessor","5"
"PR_SS","TK_ACTIVE","TK_NOTSTART","Unsupported","UnsupportedProgressedStartEndpoint","4"
"PR_SS","TK_COMPLETE","TK_ACTIVE","Historical","HistoricalFixedPredecessor","116"
"PR_SS","TK_COMPLETE","TK_COMPLETE","Historical","HistoricalSuccessor","954"
"PR_SS","TK_COMPLETE","TK_NOTSTART","Historical","HistoricalFixedPredecessor","15"
"PR_SS","TK_NOTSTART","TK_ACTIVE","Unsupported","UnsupportedProgressedRelationship","2"
"PR_SS","TK_NOTSTART","TK_COMPLETE","Historical","HistoricalSuccessor","2"
"PR_SS","TK_NOTSTART","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","74"
"PR_SS","TK_NOTSTART","TK_NOTSTART","Unsupported","UnsupportedActivityType","11"
