"source_row_number","relationship_id","predecessor_id","successor_id","relationship_type","predecessor_status","successor_status","predecessor_type","successor_type","scheduling_mode","lag_hours","lag_calendar_setting","lag_calendar_key","predecessor_calendar","predecessor_endpoint","successor_endpoint","predecessor_endpoint_field","successor_endpoint_field","predecessor_hours_per_day","free_float_hours","free_float","classification","reason_code"
"1","3081405","2608-EBA_PAA_8.0 (draft).xer.1621103","2608-EBA_PAA_8.0 (draft).xer.1621104","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"2","3081406","2608-EBA_PAA_8.0 (draft).xer.1621104","2608-EBA_PAA_8.0 (draft).xer.1621105","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"3","3081407","2608-EBA_PAA_8.0 (draft).xer.1621105","2608-EBA_PAA_8.0 (draft).xer.1621106","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"4","3081408","2608-EBA_PAA_8.0 (draft).xer.1621106","2608-EBA_PAA_8.0 (draft).xer.1621107","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"5","3081409","2608-EBA_PAA_8.0 (draft).xer.1621107","2608-EBA_PAA_8.0 (draft).xer.1621109","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"6","3081410","2608-EBA_PAA_8.0 (draft).xer.1621108","2608-EBA_PAA_8.0 (draft).xer.1621110","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"7","3081411","2608-EBA_PAA_8.0 (draft).xer.1621110","2608-EBA_PAA_8.0 (draft).xer.1621111","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"8","3081412","2608-EBA_PAA_8.0 (draft).xer.1621109","2608-EBA_PAA_8.0 (draft).xer.1621108","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"9","3081416","2608-EBA_PAA_8.0 (draft).xer.1618665","2608-EBA_PAA_8.0 (draft).xer.1616165","PR_FF","TK_NOTSTART","TK_NOTSTART","TT_Task","TT_FinMile","RetainedLogic","0","rcal_Predecessor","NotRequired","2608-EBA_PAA_8.0 (draft).xer.961","8/09/2026 5:00:00 pm","4/12/2026 5:00:00 pm","reend_date","reend_date","8","496","62","Calculated","CalculatedRemainingRelationship"
"10","3081417","2608-EBA_PAA_8.0 (draft).xer.1621023","2608-EBA_PAA_8.0 (draft).xer.1614932","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"11","3081418","2608-EBA_PAA_8.0 (draft).xer.1621028","2608-EBA_PAA_8.0 (draft).xer.1618592","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Mile","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"12","3081419","2608-EBA_PAA_8.0 (draft).xer.1621026","2608-EBA_PAA_8.0 (draft).xer.1621029","PR_FF","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_FinMile","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"13","3081427","2608-EBA_PAA_8.0 (draft).xer.1614957","2608-EBA_PAA_8.0 (draft).xer.1614955","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"14","3081434","2608-EBA_PAA_8.0 (draft).xer.1621086","2608-EBA_PAA_8.0 (draft).xer.1621088","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"15","3081437","2608-EBA_PAA_8.0 (draft).xer.1621088","2608-EBA_PAA_8.0 (draft).xer.1621089","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"16","3081438","2608-EBA_PAA_8.0 (draft).xer.1621089","2608-EBA_PAA_8.0 (draft).xer.1621090","PR_SS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"17","3081439","2608-EBA_PAA_8.0 (draft).xer.1621090","2608-EBA_PAA_8.0 (draft).xer.1621091","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"18","3081440","2608-EBA_PAA_8.0 (draft).xer.1621091","2608-EBA_PAA_8.0 (draft).xer.1621092","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"19","3081442","2608-EBA_PAA_8.0 (draft).xer.1621094","2608-EBA_PAA_8.0 (draft).xer.1621095","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"20","3081443","2608-EBA_PAA_8.0 (draft).xer.1621087","2608-EBA_PAA_8.0 (draft).xer.1621085","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"21","3081444","2608-EBA_PAA_8.0 (draft).xer.1621085","2608-EBA_PAA_8.0 (draft).xer.1621086","PR_SS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"22","3081447","2608-EBA_PAA_8.0 (draft).xer.1615919","2608-EBA_PAA_8.0 (draft).xer.1617460","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"23","3081448","2608-EBA_PAA_8.0 (draft).xer.1620484","2608-EBA_PAA_8.0 (draft).xer.1615919","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2391",,,"","",,,"","Historical","HistoricalSuccessor"
"24","3081450","2608-EBA_PAA_8.0 (draft).xer.1621082","2608-EBA_PAA_8.0 (draft).xer.1617289","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"25","3081451","2608-EBA_PAA_8.0 (draft).xer.1621071","2608-EBA_PAA_8.0 (draft).xer.1621082","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"26","3081453","2608-EBA_PAA_8.0 (draft).xer.1617653","2608-EBA_PAA_8.0 (draft).xer.1620985","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"27","3081454","2608-EBA_PAA_8.0 (draft).xer.1615340","2608-EBA_PAA_8.0 (draft).xer.1621081","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalSuccessor"
"28","3081455","2608-EBA_PAA_8.0 (draft).xer.1621081","2608-EBA_PAA_8.0 (draft).xer.1618127","PR_FS","TK_COMPLETE","TK_COMPLETE","TT_Task","TT_Task","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.2392",,,"","",,,"","Historical","HistoricalSuccessor"
"29","3081459","2608-EBA_PAA_8.0 (draft).xer.1621079","2608-EBA_PAA_8.0 (draft).xer.1616166","PR_FF","TK_NOTSTART","TK_NOTSTART","TT_FinMile","TT_FinMile","RetainedLogic","0","rcal_Predecessor","NotRequired","2608-EBA_PAA_8.0 (draft).xer.961","14/10/2026 5:00:00 pm","29/10/2026 5:00:00 pm","reend_date","reend_date","8","80","10","Calculated","CalculatedRemainingRelationship"
"30","3081460","2608-EBA_PAA_8.0 (draft).xer.1621078","2608-EBA_PAA_8.0 (draft).xer.1616166","PR_FF","TK_NOTSTART","TK_NOTSTART","TT_FinMile","TT_FinMile","RetainedLogic","0","rcal_Predecessor","NotRequired","2608-EBA_PAA_8.0 (draft).xer.961","14/10/2026 5:00:00 pm","29/10/2026 5:00:00 pm","reend_date","reend_date","8","80","10","Calculated","CalculatedRemainingRelationship"
"31","3081461","2608-EBA_PAA_8.0 (draft).xer.1621077","2608-EBA_PAA_8.0 (draft).xer.1616166","PR_FF","TK_COMPLETE","TK_NOTSTART","TT_FinMile","TT_FinMile","RetainedLogic",,"rcal_Predecessor","","2608-EBA_PAA_8.0 (draft).xer.961",,,"","",,,"","Historical","HistoricalFixedPredecessor"
"32","3081463","2608-EBA_PAA_8.0 (draft).xer.1615239","2608-EBA_PAA_8.0 (draft).xer.1621079","PR_FF","TK_NOTSTART","TK_NOTSTART","TT_Task","TT_FinMile","RetainedLogic","0","rcal_Predecessor","NotRequired","2608-EBA_PAA_8.0 (draft).xer.961","14/10/2026 5:00:00 pm","14/10/2026 5:00:00 pm","reend_date","reend_date","8","0","0","Calculated","CalculatedRemainingRelationship"
"33","3081464","2608-EBA_PAA_8.0 (draft).xer.1615205","2608-EBA_PAA_8.0 (draft).xer.1621078","PR_FF","TK_NOTSTART","TK_NOTSTART","TT_Task","TT_FinMile","RetainedLogic","0","rcal_Predecessor","NotRequired","2608-EBA_PAA_8.0 (draft).xer.961","14/10/2026 5:00:00 pm","14/10/2026 5:00:00 pm","reend_date","reend_date","8","0","0","Calculated","CalculatedRemainingRelationship"
