Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,ExpectedReason,Message
"PR_FS/TK_NotStart/TK_NotStart/TT_Task/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/TT_Task/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/TT_Rsrc/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Rsrc","TT_Task","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/TT_Rsrc/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Rsrc","","","8","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/TT_Mile/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T08:00:00","restart_date","2026-01-06T08:00:00","TT_Mile","TT_Task","","","0","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/TT_Mile/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Mile","","","8","0","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/TT_FinMile/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_FinMile","TT_Task","","","0","8","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/TT_FinMile/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T17:00:00","TT_Task","TT_FinMile","","","8","0","2026-01-02 17:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance evaluated under exported settings with fixed successor endpoint; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/TT_LOE/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_LOE","TT_Task","","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_NotStart/TT_LOE/successor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_Task","TT_LOE","","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
"PR_FS/TK_NotStart/TK_NotStart/TT_WBS/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","UnsupportedActivityType","","","","","","","","TT_WBS","TT_Task","","","8","8","2026-01-02 17:00","UnsupportedActivityType","LOE, WBS-summary or unknown activity types do not establish task-calendar movement."
