"relationship_type","predecessor_status","successor_status","classification","reason_code","count","allowance_status","calculation_basis"
"PR_FF","TK_ACTIVE","TK_ACTIVE","Unsupported","UnsupportedActivityType","2","RequiresContext","UnresolvedContext"
"PR_FF","TK_ACTIVE","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","26","Finite","TaskCalendarRemainingEndpoint"
"PR_FF","TK_ACTIVE","TK_NOTSTART","Ignored","IgnoredSummaryRelationship","1","NoFiniteBound","IgnoredRelationship"
"PR_FF","TK_COMPLETE","TK_ACTIVE","Historical","HistoricalFixedPredecessor","13","Historical","HistoricalActualEvent"
"PR_FF","TK_COMPLETE","TK_COMPLETE","Historical","HistoricalSuccessor","1470","Historical","HistoricalActualEvent"
"PR_FF","TK_COMPLETE","TK_NOTSTART","Historical","HistoricalFixedPredecessor","243","Historical","HistoricalActualEvent"
"PR_FF","TK_NOTSTART","TK_ACTIVE","Calculated","CalculatedRetainedRemainingRelationship","3","Finite","TaskCalendarRemainingEndpoint"
"PR_FF","TK_NOTSTART","TK_ACTIVE","Unsupported","UnsupportedActivityType","169","RequiresContext","UnresolvedContext"
"PR_FF","TK_NOTSTART","TK_COMPLETE","Historical","HistoricalSuccessor","2","Historical","HistoricalActualEvent"
"PR_FF","TK_NOTSTART","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","234","Finite","TaskCalendarRemainingEndpoint"
"PR_FF","TK_NOTSTART","TK_NOTSTART","Unsupported","UnsupportedActivityType","14","RequiresContext","UnresolvedContext"
"PR_FS","TK_ACTIVE","TK_ACTIVE","Calculated","CalculatedRetainedRemainingRelationship","27","Finite","TaskCalendarRemainingEndpoint"
"PR_FS","TK_ACTIVE","TK_COMPLETE","Historical","HistoricalSuccessor","14","Historical","HistoricalActualEvent"
"PR_FS","TK_ACTIVE","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","177","Finite","TaskCalendarRemainingEndpoint"
"PR_FS","TK_COMPLETE","TK_ACTIVE","Historical","HistoricalFixedPredecessor","103","Historical","HistoricalActualEvent"
"PR_FS","TK_COMPLETE","TK_COMPLETE","Historical","HistoricalSuccessor","10591","Historical","HistoricalActualEvent"
"PR_FS","TK_COMPLETE","TK_NOTSTART","Historical","HistoricalFixedPredecessor","584","Historical","HistoricalActualEvent"
"PR_FS","TK_NOTSTART","TK_ACTIVE","Calculated","CalculatedRetainedRemainingRelationship","30","Finite","TaskCalendarRemainingEndpoint"
"PR_FS","TK_NOTSTART","TK_ACTIVE","Unsupported","UnsupportedActivityType","1","RequiresContext","UnresolvedContext"
"PR_FS","TK_NOTSTART","TK_COMPLETE","Historical","HistoricalSuccessor","22","Historical","HistoricalActualEvent"
"PR_FS","TK_NOTSTART","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","1830","Finite","TaskCalendarRemainingEndpoint"
"PR_SF","TK_ACTIVE","TK_NOTSTART","Unsupported","FixedActualPredecessorStart","1","FixedEvent","FixedActualStart"
"PR_SF","TK_COMPLETE","TK_COMPLETE","Historical","HistoricalSuccessor","7","Historical","HistoricalActualEvent"
"PR_SF","TK_COMPLETE","TK_NOTSTART","Historical","HistoricalFixedPredecessor","4","Historical","HistoricalActualEvent"
"PR_SS","TK_ACTIVE","TK_ACTIVE","Unsupported","UnsupportedActivityType","1","RequiresContext","UnresolvedContext"
"PR_SS","TK_ACTIVE","TK_ACTIVE","Unsupported","UnsupportedProgressedRelationship","9","RequiresContext","UnresolvedContext"
"PR_SS","TK_ACTIVE","TK_COMPLETE","Historical","HistoricalSuccessor","5","Historical","HistoricalActualEvent"
"PR_SS","TK_ACTIVE","TK_NOTSTART","Unsupported","UnsupportedProgressedStartEndpoint","4","RequiresContext","UnresolvedContext"
"PR_SS","TK_COMPLETE","TK_ACTIVE","Historical","HistoricalFixedPredecessor","116","Historical","HistoricalActualEvent"
"PR_SS","TK_COMPLETE","TK_COMPLETE","Historical","HistoricalSuccessor","954","Historical","HistoricalActualEvent"
"PR_SS","TK_COMPLETE","TK_NOTSTART","Historical","HistoricalFixedPredecessor","15","Historical","HistoricalActualEvent"
"PR_SS","TK_NOTSTART","TK_ACTIVE","Unsupported","UnsupportedProgressedRelationship","2","RequiresContext","UnresolvedContext"
"PR_SS","TK_NOTSTART","TK_COMPLETE","Historical","HistoricalSuccessor","2","Historical","HistoricalActualEvent"
"PR_SS","TK_NOTSTART","TK_NOTSTART","Calculated","CalculatedRemainingRelationship","74","Finite","TaskCalendarRemainingEndpoint"
"PR_SS","TK_NOTSTART","TK_NOTSTART","Unsupported","UnsupportedActivityType","11","RequiresContext","UnresolvedContext"
