Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,AllowanceStatus,CalculationBasis,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,PredecessorSuspendDate,PredecessorResumeDate,ExpectedReason,Message
"status-token/PR_FS/predecessor/","PR_FS","","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FS/predecessor/TK_Bogus","PR_FS","TK_BOGUS","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnknownActivityStatus","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnknownActivityStatus","An endpoint has an unrecognised progress status."
"status-token/PR_FS/predecessor/TK_Active ","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"status-token/PR_FS/predecessor/tk_notstart","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"not-started-with-actual-start/PR_FS/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"not-started-with-actual-finish/PR_FS/predecessor","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-with-actual-finish/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","InconsistentActivityState","InvalidData","None","","","","","","","","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","","","InconsistentActivityState","Actual dates conflict with the exported unfinished activity status; source dates are not repaired."
"active-missing-actual-start/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","MissingData","UnresolvedActualStart","MissingData","None","","","","","","","","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-malformed-actual-start/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","InvalidData","UnresolvedActualStart","InvalidData","None","","","","","","","","TT_Task","TT_Task","bad-date","","8","8","2026-01-02 17:00","","","UnresolvedActualStart","Every active endpoint requires an explicit valid actual start; no source dates are repaired."
"active-actual-start-after-data-date/PR_FS/predecessor","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Unsupported","ActualStartAfterDataDate","RequiresContext","UnresolvedContext","","","","","","","","TT_Task","TT_Task","2026-01-03 08:00","","8","8","2026-01-02 17:00","","","ActualStartAfterDataDate","The recorded actual start is after its owning project's Data Date; remaining scheduling context is not established."
