Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,AllowanceStatus,CalculationBasis,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,PredecessorSuspendDate,PredecessorResumeDate,ExpectedReason,Message
"PR_FS/TK_NotStart/TK_NotStart/RetainedLogic/lag=-8","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","-8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/RetainedLogic/lag=0","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/RetainedLogic/lag=8","PR_FS","TK_NOTSTART","TK_NOTSTART","RetainedLogic","RetainedLogic","8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","-8","-1","-1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/ProgressOverride/lag=-8","PR_FS","TK_NOTSTART","TK_NOTSTART","ProgressOverride","ProgressOverride","-8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/ProgressOverride/lag=0","PR_FS","TK_NOTSTART","TK_NOTSTART","ProgressOverride","ProgressOverride","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/ProgressOverride/lag=8","PR_FS","TK_NOTSTART","TK_NOTSTART","ProgressOverride","ProgressOverride","8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","-8","-1","-1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/ActualDates/lag=-8","PR_FS","TK_NOTSTART","TK_NOTSTART","ActualDates","ActualDates","-8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/ActualDates/lag=0","PR_FS","TK_NOTSTART","TK_NOTSTART","ActualDates","ActualDates","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/ActualDates/lag=8","PR_FS","TK_NOTSTART","TK_NOTSTART","ActualDates","ActualDates","8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","-8","-1","-1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/ConflictingFlags/lag=-8","PR_FS","TK_NOTSTART","TK_NOTSTART","ConflictingFlags","Unresolved","-8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/ConflictingFlags/lag=0","PR_FS","TK_NOTSTART","TK_NOTSTART","ConflictingFlags","Unresolved","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"PR_FS/TK_NotStart/TK_NotStart/ConflictingFlags/lag=8","PR_FS","TK_NOTSTART","TK_NOTSTART","ConflictingFlags","Unresolved","8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarRemainingEndpoint","-8","-1","-1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-06T08:00:00","TT_Task","TT_Task","","","8","8","2026-01-02 17:00","","","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
