Case,Type,PredecessorStatus,SuccessorStatus,RequestedMode,ResolvedMode,LagHours,Classification,Reason,AllowanceStatus,CalculationBasis,Hours,Days,ExportedFreeFloat,PredecessorField,PredecessorEndpoint,SuccessorField,SuccessorEndpoint,PredecessorType,SuccessorType,PredecessorActualStart,SuccessorActualStart,PredecessorRemainingHours,SuccessorRemainingHours,DataDate,PredecessorSuspendDate,PredecessorResumeDate,ExpectedReason,Message
"closed-suspension/PR_FS/None/lag=0","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarSuspensionAdjusted","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-08T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"closed-suspension/PR_FS/None/lag=8","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarSuspensionAdjusted","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-08T08:00:00","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"closed-suspension/PR_FS/Predecessor/lag=0","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Estimated","TaskCalendarResourceEstimateSuspensionAdjusted","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-08T08:00:00","TT_Rsrc","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Task-calendar estimate with a fixed successor endpoint; assigned-resource calendars, date rollups and leveling are not simulated."
"closed-suspension/PR_FS/Predecessor/lag=8","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","8","Calculated","CalculatedRemainingRelationship","Estimated","TaskCalendarResourceEstimateSuspensionAdjusted","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-08T08:00:00","TT_Rsrc","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Task-calendar estimate with a fixed successor endpoint; assigned-resource calendars, date rollups and leveling are not simulated."
"closed-suspension/PR_FS/Successor/lag=0","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Estimated","TaskCalendarResourceEstimateSuspensionAdjusted","8","1","1","reend_date","2026-01-05T17:00:00","restart_date","2026-01-08T08:00:00","TT_Task","TT_Rsrc","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Task-calendar estimate with a fixed successor endpoint; assigned-resource calendars, date rollups and leveling are not simulated."
"closed-suspension/PR_FS/Successor/lag=8","PR_FS","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","8","Calculated","CalculatedRemainingRelationship","Estimated","TaskCalendarResourceEstimateSuspensionAdjusted","0","0","0","reend_date","2026-01-05T17:00:00","restart_date","2026-01-08T08:00:00","TT_Task","TT_Rsrc","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Task-calendar estimate with a fixed successor endpoint; assigned-resource calendars, date rollups and leveling are not simulated."
"closed-suspension/PR_FF/None/lag=0","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarSuspensionAdjusted","16","2","2","reend_date","2026-01-05T17:00:00","reend_date","2026-01-08T17:00:00","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"closed-suspension/PR_FF/None/lag=8","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","8","Calculated","CalculatedRemainingRelationship","Finite","TaskCalendarSuspensionAdjusted","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-08T17:00:00","TT_Task","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Signed predecessor-working-time allowance with a fixed successor endpoint and any valid closed suspension removed from movement availability; not a reschedule or native P6 driving flag."
"closed-suspension/PR_FF/Predecessor/lag=0","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","0","Calculated","CalculatedRemainingRelationship","Estimated","TaskCalendarResourceEstimateSuspensionAdjusted","16","2","2","reend_date","2026-01-05T17:00:00","reend_date","2026-01-08T17:00:00","TT_Rsrc","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Task-calendar estimate with a fixed successor endpoint; assigned-resource calendars, date rollups and leveling are not simulated."
"closed-suspension/PR_FF/Predecessor/lag=8","PR_FF","TK_ACTIVE","TK_NOTSTART","RetainedLogic","RetainedLogic","8","Calculated","CalculatedRemainingRelationship","Estimated","TaskCalendarResourceEstimateSuspensionAdjusted","8","1","1","reend_date","2026-01-05T17:00:00","reend_date","2026-01-08T17:00:00","TT_Rsrc","TT_Task","2026-01-01 08:00","","8","8","2026-01-02 17:00","2026-01-06 10:00","2026-01-07 11:00","CalculatedRemainingRelationship","Task-calendar estimate with a fixed successor endpoint; assigned-resource calendars, date rollups and leveling are not simulated."
